Year,Country,Sector,Expenditure(million USD),GDP(%)
2000,Australia,Total function,153122.633,37.36193
2000,Australia,"Agriculture, forestry, fishing and hunting",2195.583,0.53572
2000,Australia,"Mining, manufacturing and construction",905.018,0.22082
2000,Australia,Transport,11417.379,2.78584
2000,Australia,Fuel and energy,2251.241,0.5493
2000,Australia,Environment protection,2051.8,0.50064
2000,Australia,Housing and community amenities,2529.53,0.61721
2000,Australia,Health,24071.984,5.87357
2000,Australia,Education,23066.666,5.62827
2000,Australia,Social protection,43606.701,10.64004
2000,Australia,General public services,20083.177,4.9003
2000,Australia,Defence,8057.621,1.96606
2000,Australia,Public order and safety,6840.687,1.66913
2000,Australia,"Recreation, culture and religion",4096.644,0.99958
2000,Australia,"General economic, commercial and labour affairs",827.909,0.20201
2000,Australia,Other industries,332.207,0.08106
2000,Australia,RandD Economic affairs,35.946,0.00877
2000,Australia,Economic affairs n.e.c.,1226.21,0.2992
2000,Austria,Total function,100682.792,51.16005
2000,Austria,"Agriculture, forestry, fishing and hunting",1102.405,0.56017
2000,Austria,"Mining, manufacturing and construction",62.344,0.03168
2000,Austria,Transport,4573,2.32368
2000,Austria,Communication,129.906,0.06601
2000,Austria,Fuel and energy,11.924,0.00606
2000,Austria,Environment protection,875.668,0.44495
2000,Austria,Housing and community amenities,1207.984,0.61381
2000,Austria,Health,14053.707,7.14112
2000,Austria,Education,10269.251,5.21813
2000,Austria,Social protection,40996.27,20.83148
2000,Austria,General public services,16305.401,8.28528
2000,Austria,Defence,1705.404,0.86657
2000,Austria,Public order and safety,2791.222,1.41831
2000,Austria,"Recreation, culture and religion",2762.932,1.40393
2000,Austria,"General economic, commercial and labour affairs",2620.806,1.33171
2000,Austria,Other industries,285.609,0.14513
2000,Austria,RandD Economic affairs,733.949,0.37294
2000,Austria,Economic affairs n.e.c.,195.021,0.0991
2000,Belgium,Total function,116971.373,49.52126
2000,Belgium,Environment protection,1866.436,0.79018
2000,Belgium,Housing and community amenities,1137.429,0.48154
2000,Belgium,Health,14863.604,6.29269
2000,Belgium,Education,13101.075,5.5465
2000,Belgium,Social protection,38899.236,16.46847
2000,Belgium,General public services,27018.346,11.43855
2000,Belgium,Defence,2875.76,1.21749
2000,Belgium,Public order and safety,3578.352,1.51494
2000,Belgium,"Recreation, culture and religion",2209.651,0.93548
2000,Bolivia (Plurinational State of),Total function,2409.121,28.68733
2000,Brazil,Total function,244151.943,37.24962
2000,Brazil,"Agriculture, forestry, fishing and hunting",4777.386,0.72887
2000,Brazil,Transport,7568.216,1.15466
2000,Brazil,Communication,319.215,0.0487
2000,Brazil,Fuel and energy,396.633,0.06051
2000,Brazil,Environment protection,710.65,0.10842
